PK,Age,Intervalo,Categoria
0,0,less than 3,baby
1,1,less than 3,baby
2,2,less than 3,baby
3,3,3-9,child
4,4,3-9,child
5,5,3-9,child
6,6,3-9,child
7,7,3-9,child
8,8,3-9,child
9,9,3-9,child
10,10,10-14,teenager
11,11,10-14,teenager
12,12,10-14,teenager
13,13,10-14,teenager
14,14,10-14,teenager
15,15,15-20,young
16,16,15-20,young
17,17,15-20,young
18,18,15-20,young
19,19,15-20,young
20,20,15-20,young
21,21,21-59,adult
22,22,21-59,adult
23,23,21-59,adult
24,24,21-59,adult
25,25,21-59,adult
26,26,21-59,adult
27,27,21-59,adult
28,28,21-59,adult
29,29,21-59,adult
30,30,21-59,adult
31,31,21-59,adult
32,32,21-59,adult
33,33,21-59,adult
34,34,21-59,adult
35,35,21-59,adult
36,36,21-59,adult
37,37,21-59,adult
38,38,21-59,adult
39,39,21-59,adult
40,40,21-59,adult
41,41,21-59,adult
42,42,21-59,adult
43,43,21-59,adult
44,44,21-59,adult
45,45,21-59,adult
46,46,21-59,adult
47,47,21-59,adult
48,48,21-59,adult
49,49,21-59,adult
50,50,21-59,adult
51,51,21-59,adult
52,52,21-59,adult
53,53,21-59,adult
54,54,21-59,adult
55,55,21-59,adult
56,56,21-59,adult
57,57,21-59,adult
58,58,21-59,adult
59,59,21-59,adult
60,60,60 or more,old
61,61,60 or more,old
62,62,60 or more,old
63,63,60 or more,old
64,64,60 or more,old
65,65,60 or more,old
66,66,60 or more,old
67,67,60 or more,old
68,68,60 or more,old
69,69,60 or more,old
70,70,60 or more,old
71,71,60 or more,old
72,72,60 or more,old
73,73,60 or more,old
74,74,60 or more,old
75,75,60 or more,old
76,76,60 or more,old
77,77,60 or more,old
78,78,60 or more,old
79,79,60 or more,old
80,80,60 or more,old
81,81,60 or more,old
82,82,60 or more,old
83,83,60 or more,old
84,84,60 or more,old
85,85,60 or more,old
86,86,60 or more,old
87,87,60 or more,old
88,88,60 or more,old
89,89,60 or more,old
90,90,60 or more,old
91,91,60 or more,old
92,92,60 or more,old
93,93,60 or more,old
94,94,60 or more,old
95,95,60 or more,old
96,96,60 or more,old
97,97,60 or more,old
98,98,60 or more,old
99,99,60 or more,old
100,100,60 or more,old
101,101,60 or more,old
102,102,60 or more,old
103,103,60 or more,old
104,104,60 or more,old
105,105,60 or more,old
106,106,60 or more,old
107,107,60 or more,old
108,108,60 or more,old
109,109,60 or more,old
110,110,60 or more,old
111,111,60 or more,old
112,112,60 or more,old
113,113,60 or more,old
114,114,60 or more,old
115,115,60 or more,old
116,116,60 or more,old
117,117,60 or more,old
118,118,60 or more,old
119,119,60 or more,old
120,120,60 or more,old
